Name,type,vads-name,System,domain,Group,Component,element,category,concept,property,variant,state,scale,mode,value,uswds-design-token,value-from-uswds-design-token,final-hex-value,vads-alias,Current (v1) value,description,Flagged for investigation,Notes,Components,Figma value,value-from-vads-alias
vads-color-info-light,Semantic,vads-color-info-light,vads,,,,,color,,,info,,light,,,uswds-system-color-cyan-20,#99deea,#99deea,,,$theme-color-info-light from USWDS,,,,uswds-system-color-cyan-20,
vads-color-info-lighter,Semantic,vads-color-info-lighter,vads,,,,,color,,,info,,lighter,,,uswds-system-color-cyan-5,#e7f6f8,#e7f6f8,,vads-color-primary-alt-lightest,$theme-color-info-lighter from USWDS,,,,uswds-system-color-cyan-5,
vads-color-ink,Semantic,vads-color-ink,vads,,,,,color,,,ink,,,,,uswds-system-color-gray-90,#1b1b1b,#1b1b1b,vads-color-base,#1b1b1b,Also vads-color-base-darkest,,,,uswds-system-color-gray-90,
vads-color-inset-bg,Semantic,vads-color-inset-bg,vads,,,,,color,,,,,,,,,,#e7f6f8,vads-color-info-lighter,vads-color-info-lighter,,checked,"Used in forms confirmation page and claims status, but seems to be just a copy of featured content and thus should be replaced by vads-color-info-lighter.",,vads-color-info-lighter,
vads-color-link,Semantic,vads-color-link,vads,,,,,color,,,link,,,,,uswds-system-color-blue-60v,#005ea2,#005ea2,,#004795,,,,,uswds-system-color-blue-vivid-60,
vads-color-link-active,Semantic,vads-color-link-active,vads,,,,,color,,,link,active,,,,uswds-system-color-blue-70v,#0b4778,#0b4778,,#003E73,,,,,uswds-system-color-blue-vivid-70,
vads-color-link-on-dark,Semantic,vads-color-link-on-dark,vads,,,,,color,,,link,,,on-dark,,uswds-system-color-gray-5,#f0f0f0,#f0f0f0,,,Link color on mobile for dark mode,,Added by mattd when adding Link documentation for mobile,Link,uswds-system-color-gray-5,
vads-color-link-visited,Semantic,vads-color-link-visited,vads,,,,,color,,,link,visited,,,,uswds-system-color-violet-70v,#54278f,#54278f,,#4c2c92,,,,,uswds-system-color-violet-vivid-70,
vads-color-primary,Semantic,vads-color-primary,vads,,,,,color,,,primary,,,,,uswds-system-color-blue-60v,#005ea2,#005ea2,,#0071bb,,,#0071bb does not exist in the v3 system thus we'll just have to hardcode this hex value.,,uswds-system-color-blue-vivid-60,
vads-color-primary-alt,Semantic,vads-color-primary-alt,vads,,,,,color,,,primary-alt,,,,,uswds-system-color-cyan-30v,#00bde3,#00bde3,,#02bfe7,,,,,uswds-system-color-cyan-vivid-30,
vads-color-primary-alt-dark,Semantic,vads-color-primary-alt-dark,vads,,,,,color,,,primary-alt,,,,,uswds-system-color-blue-cool-40v,#28a0cb,#28a0cb,,#00a6d2,,,,,uswds-system-color-blue-cool-vivid-40,
vads-color-primary-alt-darkest,Semantic,vads-color-primary-alt-darkest,vads,,,,,color,,,primary-alt,,darkest,,,uswds-system-color-blue-cool-60v,#07648d,#07648d,,#046b99,,checked,This is in formation/sass/base/_b-variables.scss but not in our tokens file. It's in use in Secure messaging and 1 instance in benefits. ,,uswds-system-color-blue-cool-60,
vads-color-primary-alt-light,Semantic,vads-color-primary-alt-light,vads,,,,,color,,,primary-alt,,light,,,uswds-system-color-blue-cool-20v,#97d4ea,#97d4ea,,#9bdaf1,,,,,uswds-system-color-blue-cool-vivid-20,
vads-color-primary-alt-lightest,Semantic,vads-color-primary-alt-lightest,vads,,,,,color,,,primary-alt,,lightest,,,uswds-system-color-blue-cool-5v,#e1f3f8,#e1f3f8,,#e1f3f8,,,,,uswds-system-color-blue-cool-vivid-5,
vads-color-primary-dark,Semantic,vads-color-primary-dark,vads,,,,,color,,,primary,,darker,,,uswds-system-color-blue-warm-70v,#1a4480,#1a4480,,,,,,,uswds-system-color-blue-warm-vivid-70,
vads-color-primary-darker,Semantic,vads-color-primary-darker,vads,,,,,color,,,primary,,darker,,,uswds-system-color-blue-warm-80v,#162e51,#162e51,,#003e73,"Shifts to primary-dark, takes on primary-darkest",,#003e73 does not exist in the v3 system,,uswds-system-color-blue-warm-vivid-80,
vads-color-primary-light,Semantic,vads-color-primary-light,vads,,,,,color,,,primary,,light,,,uswds-system-color-blue-30,#73b3e7,#73b3e7,,,,,,,uswds-system-color-blue-30,
vads-color-primary-lighter,Semantic,vads-color-primary-lighter,vads,,,,,color,,,primary,,lighter,,,uswds-system-color-blue-10,#d9e8f6,#d9e8f6,,,,,Added by Dan,,uswds-system-color-blue-10,
vads-color-secondary,Semantic,vads-color-secondary,vads,,,,,color,,,secondary,,,,,uswds-system-color-red-50,#d83933,#d83933,,#e31c3d,$theme-color-secondary,,,,uswds-system-color-red-50,
vads-color-secondary-dark,Semantic,vads-color-secondary-dark,vads,,,,,color,,,secondary,,dark,,,uswds-system-color-red-60v,#b50909,#b50909,,#cd2026,$theme-color-secondary-dark,,,,uswds-system-color-red-vivid-60,
vads-color-secondary-darkest,Semantic,vads-color-secondary-darkest,vads,,,,,color,,,secondary,,darkest,,,uswds-system-color-red-70v,#8b0a03,#8b0a03,,#981b1e,$theme-color-secondary-darker,checked,We should rename this to vads-color-secondary-darker,,uswds-system-color-red-vivid-70,
vads-color-secondary-light,Semantic,vads-color-secondary-light,vads,,,,,color,,,secondary,,light,,,uswds-system-color-red-30,#f2938c,#f2938c,,#e59393,$theme-color-secondary-light,,,,uswds-system-color-red-30,
vads-color-secondary-lightest,Semantic,vads-color-secondary-lightest,vads,,,,,color,,,secondary,,lightest,,,uswds-system-color-red-cool-10v,#f8dfe2,#f8dfe2,,#f9dede,$theme-color-secondary-lighter,checked,We should rename this to vads-color-secondary-lighter,,uswds-system-color-red-cool-vivid-10,
vads-color-success,Semantic,vads-color-success,vads,,,,,color,,,success,,,,,uswds-system-color-green-cool-40v,#00a91c,#00a91c,,vads-color-green,$theme-color-success from USWDS,,"There was a conflict here with our value, which was actually pointing at success-dark and the USWDS value",,uswds-system-color-green-cool-40v,
vads-color-success-dark,Semantic,vads-color-success-dark,vads,,,,,color,,,success,,dark,,,uswds-system-color-green-cool-50v,#008817,#008817,,,$theme-color-success-dark from USWDS,,,,uswds-system-color-green-cool-50v,
vads-color-success-darker,Semantic,vads-color-success-darker,vads,,,,,color,,,success,,darker,,,uswds-system-color-green-cool-60v,#216e1f,#216e1f,,,$theme-color-success-darker from USWDS,,,,uswds-system-color-green-cool-60v,
vads-color-success-light,Semantic,vads-color-success-light,vads,,,,,color,,,success,,light,,,uswds-system-color-green-cool-20v,#70e17b,#70e17b,,,$theme-color-success-light from USWDS,,,,uswds-system-color-green-cool-20v,
vads-color-success-lighter,Semantic,vads-color-success-lighter,vads,,,,,color,,,success,,lighter,,,uswds-system-color-green-cool-5,#ecf3ec,#ecf3ec,,,$theme-color-success-lighter from USWDS,,,,uswds-system-color-green-cool-5,
vads-color-va-accent,Semantic,vads-color-va-accent,vads,,,,,color,,,,,,,,uswds-system-color-yellow-50,#8a7237,#8a7237,,#988530,Used in the table and desktop main navigation menu as a top border highlight color. Should be replaced by vads-main-menu-color-border-top-open-on-light,checked,The name here is terrible. Let's replace with vads-main-menu-color-border-top-open-on-light,,uswds-system-color-yellow-50,
vads-color-warning,Semantic,vads-color-warning,vads,,,,,color,,,warning,,,,,uswds-system-color-gold-20v,#ffbe2e,#ffbe2e,,,$theme-color-warning from USWDS,,,,uswds-system-color-gold-20v,
vads-color-warning-dark,Semantic,vads-color-warning-dark,vads,,,,,color,,,warning,,dark,,,uswds-system-color-gold-30v,#e5a000,#e5a000,,,$theme-color-warning-dark from USWDS,,,,uswds-system-color-gold-30v,
vads-color-warning-darker,Semantic,vads-color-warning-darker,vads,,,,,color,,,warning,,darker,,,uswds-system-color-gold-50v,#936f38,#936f38,,,$theme-color-warning-darker from USWDS,,,,uswds-system-color-gold-50v,
vads-color-warning-light,Semantic,vads-color-warning-light,vads,,,,,color,,,warning,,light,,,uswds-system-color-yellow-10v,#fee685,#fee685,,,$theme-color-warning-light from USWDS,,,,uswds-system-color-yellow-10v,
vads-color-warning-lighter,Semantic,vads-color-warning-lighter,vads,,,,,color,,,warning,,lighter,,,uswds-system-color-yellow-5,#faf3d1,#faf3d1,vads-alert-color-background-warning-on-light,,"Used for rules, lines, dividers, and separators
",,,,vads-color-alert-background-warning-on-light,
